"journal_name","issn","e_issn","category","edition","total_citations","impact_factor_2023","jif_quartile","jci_2023","percent_oa_gold"
"FOOD AND DRUG LAW JOURNAL","1064-590X","1064-590X","('FOOD SCIENCE & TECHNOLOGY', 'LAW', 'NUTRITION & DIETETICS', 'PHARMACOLOGY & PHARMACY')","('SCIE', 'SSCI', 'SCIE', 'SCIE')","182","0.3","('Q4', 'Q3', 'Q4', 'Q4')","0.10","0.00"
"Geography and Natural Resources","1875-3728","1875-371X","GEOGRAPHY","('ESCI',)","326","0.3","Q4","0.10","0.00"
"Hippokratia","1108-4189","1108-4189","MEDICINE, GENERAL & INTERNAL","('SCIE',)","1,116","0.3","Q3","0.10","0.00"
"HTM-Journal of Heat Treatment and Materials","1867-2493","2194-1831","THERMODYNAMICS","('ESCI',)","189","0.3","Q4","0.10","4.88"
"Indian Journal of Neurosurgery","2277-954X","2277-9167","SURGERY","('ESCI',)","93","0.3","Q4","0.10","98.27"
"Indonesian Capital Market Review","1979-8997","2356-3818","ECONOMICS","('ESCI',)","21","0.3","Q4","0.10","36.00"
"International Journal of Academic Medicine","","2455-5568","MEDICINE, GENERAL & INTERNAL","('ESCI',)","112","0.3","Q3","0.10","0.00"
"International Journal of Applied Management Science","1755-8913","1755-8921","('MANAGEMENT', 'OPERATIONS RESEARCH & MANAGEMENT SCIENCE')","('ESCI', 'ESCI')","107","0.3","('Q4', 'Q4')","0.10","0.00"
"Journal of Military and Veterans Health","1835-1271","1839-2733","MEDICINE, GENERAL & INTERNAL","('ESCI',)","111","0.3","Q3","0.10","0.00"
"Journal of the Korean Earth Science Society","1225-6692","2287-4518","GEOSCIENCES, MULTIDISCIPLINARY","('ESCI',)","284","0.3","Q4","0.10","0.00"
"Klinik Psikiyatri Dergisi-Turkish Journal of Clinical Psychiatry","1302-0099","2146-7153","PSYCHIATRY","('ESCI',)","218","0.3","Q4","0.10","94.41"
"KLINISCHE NEUROPHYSIOLOGIE","1434-0275","1439-4081","('CLINICAL NEUROLOGY', 'NEUROIMAGING', 'PHYSIOLOGY')","('SCIE', 'SCIE', 'SCIE')","67","0.3","('Q4', 'Q4', 'Q4')","0.10","2.00"
"Korean Economic Review","0254-3737","","ECONOMICS","('SSCI',)","63","0.3","Q4","0.10","0.00"
"Lecturas de Economia","0120-2596","2323-0622","ECONOMICS","('ESCI',)","65","0.3","Q4","0.10","89.47"
"Minerva Psychiatry","2724-6612","2724-6108","PSYCHIATRY","('ESCI',)","24","0.3","Q4","0.10","0.65"
"Nonlinear Phenomena in Complex Systems","1561-4085","1817-2458","PHYSICS, MULTIDISCIPLINARY","('ESCI',)","265","0.3","Q4","0.10","0.00"
"Nuovo Cimento C-Colloquia and Communications in Physics","2037-4909","1826-9885","PHYSICS, MULTIDISCIPLINARY","('ESCI',)","327","0.3","Q4","0.10","0.00"
"Physiology and Pharmacology","2476-5236","2476-5244","PHYSIOLOGY","('ESCI',)","165","0.3","Q4","0.10","63.83"
"Politeia-Journal of Political Theory Political Philosophy and Sociology of Politics","2078-5089","2587-5914","POLITICAL SCIENCE","('ESCI',)","150","0.3","Q4","0.10","88.99"
"Portal-Godisnjak Hrvatskog Restauratorskog Zavoda","1847-9464","1848-6681","ART","('ESCI',)","48","0.3","","0.10","0.00"
"Praktische Metallographie-Practical Metallography","0032-678X","2195-8599","METALLURGY & METALLURGICAL ENGINEERING","('SCIE',)","204","0.3","Q4","0.10","8.87"
"Revista de Ciencias Agricolas","0120-0135","2256-2273","AGRONOMY","('ESCI',)","116","0.3","Q4","0.10","98.57"
"Revista de Investigaciones Veterinarias del Peru","1682-3419","1609-9117","VETERINARY SCIENCES","('ESCI',)","558","0.3","Q4","0.10","90.04"
"Revista de Senologia y Patologia Mamaria","0214-1582","1578-1399","('OBSTETRICS & GYNECOLOGY', 'ONCOLOGY')","('ESCI', 'ESCI')","47","0.3","('Q4', 'Q4')","0.10","0.61"
"Scientific Papers-Series E-Land Reclamation Earth Observation & Surveying Environmental Engineering","2285-6064","2285-6064","AGRICULTURE, MULTIDISCIPLINARY","('ESCI',)","64","0.3","Q4","0.10","0.00"
"Studia Ethnologica Croatica","1330-3627","1848-9532","ANTHROPOLOGY","('ESCI',)","35","0.3","Q4","0.10","100.00"
"Visnyk of V N Karazin Kharkiv National University-Series Geology Geography Ecology","2410-7360","2411-3913","GEOLOGY","('ESCI',)","82","0.3","Q4","0.10","96.58"
"WORLD LITERATURE TODAY","0196-3570","1945-8134","LITERATURE","('AHCI',)","330","0.3","","0.10","2.56"
"ZHURNAL OBSHCHEI BIOLOGII","0044-4596","0044-4596","BIOLOGY","('SCIE',)","300","0.3","Q4","0.10","0.00"
"Abanico Veterinario","2007-4204","2448-6132","VETERINARY SCIENCES","('ESCI',)","90","0.3","Q4","0.09","98.04"
"Acta Facultatis Medicae Naissensis","0351-6083","2217-2521","MEDICINE, GENERAL & INTERNAL","('ESCI',)","157","0.3","Q3","0.09","99.28"
"Anais Brasileiros de Estudos Turisticos-ABET","2238-2925","2238-2925","HOSPITALITY, LEISURE, SPORT & TOURISM","('ESCI',)","38","0.3","Q4","0.09","0.00"
"Asthma Allergy Immunology","1308-9234","1308-9234","ALLERGY","('ESCI',)","117","0.3","Q4","0.09","73.08"
"Bitacora Urbano Territorial","0124-7913","2027-145X","URBAN STUDIES","('ESCI',)","249","0.3","Q4","0.09","68.29"
"CIC-Cuadernos de Informacion y Comunicacion","1135-7991","1988-4001","COMMUNICATION","('ESCI',)","100","0.3","Q4","0.09","90.63"
"Computer Science-AGH","1508-2806","2300-7036","COMPUTER SCIENCE, THEORY & METHODS","('ESCI',)","77","0.3","Q4","0.09","100.00"
"Congenital Heart Disease","1747-079X","1747-0803","CARDIAC & CARDIOVASCULAR SYSTEMS","('SCIE',)","1,804","0.3","Q4","0.09","100.00"
"Deviance et Societe","0378-7931","0378-5807","('CRIMINOLOGY & PENOLOGY', 'SOCIOLOGY')","('SSCI', 'SSCI')","173","0.3","('Q4', 'Q4')","0.09","0.00"
"Ekonomski Pregled","0424-7558","1848-9494","ECONOMICS","('ESCI',)","136","0.3","Q4","0.09","93.52"
"Eskisehir Osmangazi Universitesi IIBF Dergisi-Eskisehir Osmangazi University Journal of Economics and Administrative Sciences","1306-6730","1306-6730","ECONOMICS","('ESCI',)","126","0.3","Q4","0.09","88.72"
"Flugmedizin Tropenmedizin Reisemedizin","1864-4538","1864-175X","TROPICAL MEDICINE","('ESCI',)","26","0.3","Q4","0.09","0.00"
"Haseki TIp Bulteni-Medical Bulletin of Haseki","1302-0072","2147-2688","MEDICINE, GENERAL & INTERNAL","('ESCI',)","114","0.3","Q3","0.09","100.00"
"Ibersid-Revista de Sistemas de Informacion y Documentacion","1888-0967","2174-081X","INFORMATION SCIENCE & LIBRARY SCIENCE","('ESCI',)","44","0.3","Q4","0.09","0.00"
"INDIAN JOURNAL OF AGRICULTURAL SCIENCES","0019-5022","2394-3319","AGRICULTURE, MULTIDISCIPLINARY","('SCIE',)","2,430","0.3","Q4","0.09","71.36"
"Journal of Cognitive Education and Psychology","1945-8959","1810-7621","PSYCHOLOGY, EDUCATIONAL","('ESCI',)","233","0.3","Q4","0.09","0.00"
"JOURNAL OF DIAGNOSTIC MEDICAL SONOGRAPHY","8756-4793","1552-5430","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING","('ESCI',)","639","0.3","Q4","0.09","4.78"
"JOURNAL OF GYNECOLOGIC SURGERY","1042-4067","1557-7724","OBSTETRICS & GYNECOLOGY","('ESCI',)","248","0.3","Q4","0.09","2.06"
"Journal of Hard Tissue Biology","1341-7649","1341-7649","ENGINEERING, BIOMEDICAL","('SCIE',)","247","0.3","Q4","0.09","0.85"
"Journal of Information and Organizational Sciences","1846-3312","1846-9418","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","('ESCI',)","109","0.3","Q4","0.09","92.68"
"JOURNAL OF SEISMIC EXPLORATION","0963-0651","","GEOCHEMISTRY & GEOPHYSICS","('SCIE',)","190","0.3","Q4","0.09","0.00"
"Journal of the Korean Crystal Growth and Crystal Technology","1225-1429","2234-5078","CRYSTALLOGRAPHY","('ESCI',)","104","0.3","Q4","0.09","0.00"
"Labor-Studies in Working-Class History of the Americas","1547-6715","1558-1454","INDUSTRIAL RELATIONS & LABOR","('ESCI',)","169","0.3","Q4","0.09","0.00"
"Psychologie du Travail et des Organisations","1420-2530","1420-2530","PSYCHOLOGY, APPLIED","('ESCI',)","115","0.3","Q4","0.09","30.91"
"Revija za Socijalnu Politiku","1330-2965","1845-6014","SOCIAL ISSUES","('SSCI',)","104","0.3","Q4","0.09","88.46"
"Revista Costarricense de Psicologia","0257-1439","1659-2913","PSYCHOLOGY, MULTIDISCIPLINARY","('ESCI',)","56","0.3","Q4","0.09","100.00"
"Revista de Agricultura Neotropical","2358-6303","2358-6303","AGRONOMY","('ESCI',)","164","0.3","Q4","0.09","88.14"
"Revista Galega de Economia","1132-2799","2255-5951","ECONOMICS","('ESCI',)","107","0.3","Q4","0.09","89.55"
"Social Evolution & History","1681-4363","1681-4363","SOCIAL ISSUES","('ESCI',)","127","0.3","Q4","0.09","90.00"
"Sosyoekonomi","1305-5577","1305-5577","ECONOMICS","('ESCI',)","171","0.3","Q4","0.09","98.94"
"South African Journal of Geomatics","2225-8531","2225-8531","REMOTE SENSING","('ESCI',)","164","0.3","Q4","0.09","100.00"
"Travmatologiya i ortopediya Rossii","2311-2905","2311-2905","ORTHOPEDICS","('ESCI',)","114","0.3","Q4","0.09","87.00"
"URVIO-Revista Latinoamericana de Estudios de Seguridad","1390-3691","1390-4299","POLITICAL SCIENCE","('ESCI',)","55","0.3","Q4","0.09","96.83"
"Acta Universitatis Sapientiae Informatica","1844-6086","2066-7760","COMPUTER SCIENCE, THEORY & METHODS","('ESCI',)","74","0.3","Q4","0.08","100.00"
"Afriques-Debats Methodes et Terrains d Histoire","2108-6796","2108-6796","AREA STUDIES","('ESCI',)","46","0.3","Q3","0.08","65.00"
"Amme Idaresi Dergisi","1300-1795","1300-1795","PUBLIC ADMINISTRATION","('SSCI',)","77","0.3","Q4","0.08","0.00"
"Arteterapia-Papeles de Arteterapia y Educacion Artistica para la Inclusion Social","1886-6190","1988-8309","REHABILITATION","('ESCI',)","72","0.3","Q4","0.08","100.00"
"AUSTRALASIAN PARLIAMENTARY REVIEW","1447-9125","1447-9125","POLITICAL SCIENCE","('ESCI',)","69","0.3","Q4","0.08","0.00"
"CAHIERS DE NUTRITION ET DE DIETETIQUE","0007-9960","0007-9960","NUTRITION & DIETETICS","('ESCI',)","116","0.3","Q4","0.08","54.44"
"Cuadernos de Economia","0121-4772","2248-4337","ECONOMICS","('ESCI',)","193","0.3","Q4","0.08","56.25"
"Economia Sociedad y Territorio","1405-8421","2448-6183","SOCIAL SCIENCES, INTERDISCIPLINARY","('ESCI',)","192","0.3","Q3","0.08","85.71"
"Erciyes Medical Journal","2149-2247","2149-2549","MEDICINE, GENERAL & INTERNAL","('ESCI',)","186","0.3","Q3","0.08","99.21"
"European Journal of Therapeutics","2564-7784","2564-7040","MEDICINE, GENERAL & INTERNAL","('ESCI',)","226","0.3","Q3","0.08","90.13"
"Iconos","1390-1249","1390-8065","SOCIAL SCIENCES, INTERDISCIPLINARY","('ESCI',)","205","0.3","Q3","0.08","97.78"
"IEICE Communications Express","2187-0136","2187-0136","ENGINEERING, ELECTRICAL & ELECTRONIC","('ESCI',)","208","0.3","Q4","0.08","97.07"
"International Journal of Gerontology","1873-9598","1873-958X","GERIATRICS & GERONTOLOGY","('SCIE',)","513","0.3","Q4","0.08","0.00"
"Italian Journal of Medicine","1877-9344","1877-9352","MEDICINE, GENERAL & INTERNAL","('ESCI',)","95","0.3","Q3","0.08","100.00"
"Journal of Basic and Clinical Health Sciences","2458-8938","2564-7288","HEALTH CARE SCIENCES & SERVICES","('ESCI',)","115","0.3","Q4","0.08","98.95"
"Journal of Health and Allied Sciences NU","2582-4287","2582-4953","MEDICINE, GENERAL & INTERNAL","('ESCI',)","102","0.3","Q3","0.08","100.00"
"Journal of Mathematics and the Arts","1751-3472","1751-3480","MATHEMATICS, INTERDISCIPLINARY APPLICATIONS","('ESCI',)","98","0.3","Q4","0.08","19.30"
"Journal of Philosophical Economics","1843-2298","1844-8208","ECONOMICS","('ESCI',)","61","0.3","Q4","0.08","0.00"
"Journal of the Korean Medical Association","1975-8456","2093-5951","MEDICINE, GENERAL & INTERNAL","('ESCI',)","553","0.3","Q3","0.08","100.00"
"Journal of Tourism History","1755-182X","1755-1838","HOSPITALITY, LEISURE, SPORT & TOURISM","('ESCI',)","112","0.3","Q4","0.08","25.64"
"Konuralp Tip Dergisi","1309-3878","1309-3878","MEDICINE, GENERAL & INTERNAL","('ESCI',)","177","0.3","Q3","0.08","97.32"
"Linguisticae Investigationes","0378-4169","1569-9927","LANGUAGE & LINGUISTICS","('ESCI',)","174","0.3","","0.08","0.00"
"LOISIR & SOCIETE-SOCIETY AND LEISURE","0705-3436","1705-0154","HOSPITALITY, LEISURE, SPORT & TOURISM","('ESCI',)","246","0.3","Q4","0.08","3.26"
"Nativa","2318-7670","2318-7670","AGRICULTURE, MULTIDISCIPLINARY","('ESCI',)","300","0.3","Q4","0.08","73.39"
"Oeconomia-History Methodology Philosophy","2113-5207","2269-8450","ECONOMICS","('ESCI',)","89","0.3","Q4","0.08","46.15"
"Oncology in Clinical Practice","2450-1654","2450-6478","ONCOLOGY","('ESCI',)","139","0.3","Q4","0.08","98.29"
"OSTEUROPA","0030-6428","2509-3444","POLITICAL SCIENCE","('SSCI',)","242","0.3","Q4","0.08","0.00"
"PHLEBOLOGIE","0939-978X","2567-5826","PERIPHERAL VASCULAR DISEASE","('ESCI',)","203","0.3","Q4","0.08","2.41"
"Praxis & Saber","2216-0159","2462-8603","EDUCATION & EDUCATIONAL RESEARCH","('ESCI',)","119","0.3","Q4","0.08","96.45"
"Propagation of Ornamental Plants","1311-9109","","HORTICULTURE","('SCIE',)","153","0.3","Q4","0.08","0.00"
"Revista De Historia De La Psicologia","0211-0040","2445-0928","PSYCHOLOGY, MULTIDISCIPLINARY","('ESCI',)","83","0.3","Q4","0.08","98.04"
"Revista Espanola de Derecho Constitucional","0211-5743","1989-0648","LAW","('SSCI',)","240","0.3","Q3","0.08","77.78"
"Revista Internacional de Comunicacion y Desarrollo","2386-3730","2386-3730","COMMUNICATION","('ESCI',)","39","0.3","Q4","0.08","73.68"
"Revista Latinoamericana de la Papa","1019-6609","1853-4961","AGRONOMY","('ESCI',)","37","0.3","Q4","0.08","9.09"
"South of Russia-Ecology Development","1992-1098","2413-0958","ECOLOGY","('ESCI',)","122","0.3","Q4","0.08","100.00"
"Stahlbau","0038-9145","1437-1049","('CONSTRUCTION & BUILDING TECHNOLOGY', 'ENGINEERING, CIVIL')","('SCIE', 'SCIE')","542","0.3","('Q4', 'Q4')","0.08","0.00"
"Statistika-Statistics and Economy Journal","0322-788X","1804-8765","ECONOMICS","('ESCI',)","84","0.3","Q4","0.08","72.84"
"TETSU TO HAGANE-JOURNAL OF THE IRON AND STEEL INSTITUTE OF JAPAN","0021-1575","1883-2954","METALLURGY & METALLURGICAL ENGINEERING","('SCIE',)","1,528","0.3","Q4","0.08","99.32"
"UHOD-Uluslararasi Hematoloji-Onkoloji Dergisi","1306-133X","1306-133X","ONCOLOGY","('SCIE',)","99","0.3","Q4","0.08","50.00"
"Universitas Psychologica","1657-9267","","PSYCHOLOGY, MULTIDISCIPLINARY","('SSCI',)","846","0.3","Q4","0.08","100.00"
"Advancements of Microbiology","0079-4252","2545-3149","MICROBIOLOGY","('SCIE',)","70","0.3","Q4","0.07","96.77"
"Anthropologie et Sante-Revue Internationale Francophone d Anthropologie de la Sante","2111-5028","2111-5028","ANTHROPOLOGY","('ESCI',)","44","0.3","Q4","0.07","78.95"
"Asia-Pacific Management Accounting Journal","1675-3194","1675-3194","BUSINESS, FINANCE","('ESCI',)","76","0.3","Q4","0.07","0.00"
"Australasian Agribusiness Review","1833-5675","1442-6951","AGRICULTURAL ECONOMICS & POLICY","('ESCI',)","40","0.3","Q4","0.07","0.00"
"Canadian Journal of Bioethics-Revue Canadienne de Bioethique","","2561-4665","MEDICAL ETHICS","('ESCI',)","89","0.3","Q4","0.07","88.32"
"Clinical and Experimental Health Sciences","2459-1459","2459-1459","MEDICINE, RESEARCH & EXPERIMENTAL","('ESCI',)","272","0.3","Q4","0.07","0.74"
"Composites-Mechanics Computations Applications","2152-2057","2152-2073","MECHANICS","('ESCI',)","73","0.3","Q4","0.07","0.00"
"Cukurova Medical Journal","2602-3032","2602-3040","MEDICINE, GENERAL & INTERNAL","('ESCI',)","421","0.3","Q3","0.07","86.31"
"CyberGeo-European Journal of Geography","1278-3366","1278-3366","GEOGRAPHY","('ESCI',)","325","0.3","Q4","0.07","83.33"
"Debates en Sociologia","0254-9220","2304-4284","SOCIOLOGY","('ESCI',)","47","0.3","Q4","0.07","97.67"
"Derecho y Ciencias Sociales","1853-0982","1852-2971","LAW","('ESCI',)","14","0.3","Q3","0.07","89.66"
"Ecosistemas y Recursos Agropecuarios","2007-901X","2007-901X","AGRICULTURE, MULTIDISCIPLINARY","('ESCI',)","265","0.3","Q4","0.07","92.20"
"Espacio Abierto","1315-0006","1315-0006","SOCIAL SCIENCES, INTERDISCIPLINARY","('ESCI',)","122","0.3","Q3","0.07","0.00"
"Historia y Memoria de la Educacion","2444-0043","2444-0043","EDUCATION & EDUCATIONAL RESEARCH","('ESCI',)","102","0.3","Q4","0.07","94.59"
"Ibnosina Journal of Medicine and Biomedical Sciences","1947-489X","1947-489X","MEDICINE, GENERAL & INTERNAL","('ESCI',)","76","0.3","Q3","0.07","88.61"
"IEEE Pulse","2154-2287","2154-2317","ENGINEERING, BIOMEDICAL","('SCIE',)","412","0.3","Q4","0.07","11.21"
"IHERINGIA SERIE BOTANICA","","2446-8231","PLANT SCIENCES","('SCIE',)","162","0.3","Q4","0.07","77.19"
"Indian Journal of Economics and Development","2277-5412","2322-0430","ECONOMICS","('ESCI',)","243","0.3","Q4","0.07","0.00"
"International Archives of Health Sciences","","2383-2568","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","('ESCI',)","83","0.3","Q4","0.07","68.18"
"International Journal of Applied Mathematics & Statistics","0973-1377","0973-7545","MATHEMATICS, APPLIED","('ESCI',)","176","0.3","Q4","0.07","0.00"
"International Journal of Biology and Chemistry","2218-7979","2409-370X","BIOLOGY","('ESCI',)","54","0.3","Q4","0.07","100.00"
"ITE JOURNAL-INSTITUTE OF TRANSPORTATION ENGINEERS","0162-8178","","('ENGINEERING, CIVIL', 'TRANSPORTATION SCIENCE & TECHNOLOGY')","('SCIE', 'SCIE')","400","0.3","('Q4', 'Q4')","0.07","0.00"
"Journal of Krishna Institute of Medical Sciences University","2231-4261","2231-4261","MEDICINE, GENERAL & INTERNAL","('ESCI',)","206","0.3","Q3","0.07","0.00"
"Journal of Robotics Networking and Artificial Life","2352-6386","2352-6386","ROBOTICS","('ESCI',)","115","0.3","Q4","0.07","40.36"
"Journal of the Korean Chemical Society-Daehan Hwahak Hoe Jee","1017-2548","2234-8530","CHEMISTRY, MULTIDISCIPLINARY","('ESCI',)","395","0.3","Q4","0.07","0.00"
"Klimik Journal","1301-143X","1309-1484","MEDICINE, GENERAL & INTERNAL","('ESCI',)","155","0.3","Q3","0.07","97.03"
"LymphoSign Journal-The Journal of Inherited Immune Disorders","2292-5937","2292-5945","IMMUNOLOGY","('ESCI',)","60","0.3","Q4","0.07","3.33"
"Medycyna Paliatywna-Palliative Medicine","2081-0016","2081-2833","HEALTH CARE SCIENCES & SERVICES","('ESCI',)","68","0.3","Q4","0.07","97.37"
"Moscow University Mechanics Bulletin","0027-1330","1934-8452","MECHANICS","('ESCI',)","71","0.3","Q4","0.07","0.00"
"Oriental Journal of Chemistry","0970-020X","2231-5039","CHEMISTRY, MULTIDISCIPLINARY","('ESCI',)","2,010","0.3","Q4","0.07","96.53"
"Physics and Chemistry of Glasses-European Journal of Glass Science and Technology Part B","1753-3562","","('CHEMISTRY, PHYSICAL', 'MATERIALS SCIENCE, CERAMICS')","('SCIE', 'SCIE')","961","0.3","('Q4', 'Q4')","0.07","0.00"
"ReiDoCrea-Revista Eectronica de Investigacion y Docencia Creativa","2254-5883","2254-5883","SOCIAL SCIENCES, INTERDISCIPLINARY","('ESCI',)","97","0.3","Q3","0.07","16.08"
"REVISTA DE LA SOCIEDAD GEOLOGICA DE ESPANA","0214-2708","2255-1379","GEOSCIENCES, MULTIDISCIPLINARY","('ESCI',)","284","0.3","Q4","0.07","32.35"
"Revista Gestao & Tecnologia-Journal of Management and Technology","1677-9479","2177-6652","MANAGEMENT","('ESCI',)","119","0.3","Q4","0.07","5.96"
"REVISTA REPUBLICANA","1909-4450","2256-5027","LAW","('ESCI',)","40","0.3","Q3","0.07","98.46"
"Scientific Papers-Series B-Horticulture","2285-5653","2286-1580","PLANT SCIENCES","('ESCI',)","304","0.3","Q4","0.07","0.00"
"Soldagem & Inspecao","0104-9224","1980-6973","METALLURGY & METALLURGICAL ENGINEERING","('SCIE',)","182","0.3","Q4","0.07","83.93"
"Tecnologia y Ciencias del Agua","0187-8336","2007-2422","('ENGINEERING, CIVIL', 'WATER RESOURCES')","('SCIE', 'SCIE')","302","0.3","('Q4', 'Q4')","0.07","100.00"
"Temida","1450-6637","1450-6637","CRIMINOLOGY & PENOLOGY","('ESCI',)","47","0.3","Q4","0.07","97.67"
"Vestnik Tomskogo Gosudarstvennogo Universiteta-Matematika i Mekhanika-Tomsk State University Journal of Mathematics and Mechanics","1998-8621","2311-2255","MECHANICS","('ESCI',)","158","0.3","Q4","0.07","5.73"
"YAKUGAKU ZASSHI-JOURNAL OF THE PHARMACEUTICAL SOCIETY OF JAPAN","0031-6903","1347-5231","PHARMACOLOGY & PHARMACY","('SCIE',)","1,448","0.3","Q4","0.07","99.55"
"ALSIC-Apprentissage des Langues et Systems d Information et de Communication","1286-4986","1286-4986","EDUCATION & EDUCATIONAL RESEARCH","('ESCI',)","44","0.3","Q4","0.06","44.74"
"Applied Biological Research","0972-0979","0974-4517","BIOTECHNOLOGY & APPLIED MICROBIOLOGY","('ESCI',)","116","0.3","Q4","0.06","0.00"
"Arrancada","1729-3693","1810-5882","HOSPITALITY, LEISURE, SPORT & TOURISM","('ESCI',)","67","0.3","Q4","0.06","0.00"
"Australian Geomechanics Journal","0818-9110","0818-9110","ENGINEERING, GEOLOGICAL","('ESCI',)","279","0.3","Q4","0.06","0.00"
"Bulgarian Astronomical Journal","1313-2709","1314-5592","ASTRONOMY & ASTROPHYSICS","('ESCI',)","57","0.3","Q4","0.06","0.00"
"CEYLON MEDICAL JOURNAL","0009-0875","0009-0875","MEDICINE, GENERAL & INTERNAL","('ESCI',)","357","0.3","Q3","0.06","100.00"
"Cuadernos de Administracion-Universidad del Valle","0120-4645","2256-5078","MANAGEMENT","('ESCI',)","58","0.3","Q4","0.06","98.33"
"Current Psychiatry Research and Reviews","2666-0822","2666-0830","PSYCHIATRY","('ESCI',)","46","0.3","Q4","0.06","0.00"
"ERNAHRUNGS UMSCHAU","0174-0008","0174-0008","NUTRITION & DIETETICS","('SCIE',)","273","0.3","Q4","0.06","0.00"
"Estudios de Cultura Maya","0185-2574","2448-5179","ANTHROPOLOGY","('ESCI',)","192","0.3","Q4","0.06","100.00"
"European Journal of Geriatrics and Gerontology","2687-2625","2687-2625","GERIATRICS & GERONTOLOGY","('ESCI',)","31","0.3","Q4","0.06","100.00"
"Ewha Medical Journal","2234-3180","2234-2591","MEDICINE, GENERAL & INTERNAL","('ESCI',)","43","0.3","Q3","0.06","79.41"
"IC-Revista Cientifica de Informacion y Comunicacion","1696-2508","2173-1071","COMMUNICATION","('ESCI',)","45","0.3","Q4","0.06","0.00"
"IDP-Internet Law and Politics","1699-8154","1699-8154","POLITICAL SCIENCE","('ESCI',)","65","0.3","Q4","0.06","72.00"
"Infectious Diseases and Clinical Microbiology","2667-646X","2667-646X","('INFECTIOUS DISEASES', 'MICROBIOLOGY')","('ESCI', 'ESCI')","38","0.3","('Q4', 'Q4')","0.06","85.71"
"Innovacion Educativa","1130-8656","2340-0056","EDUCATION & EDUCATIONAL RESEARCH","('ESCI',)","153","0.3","Q4","0.06","100.00"
"International Journal of Internet Protocol Technology","1743-8209","1743-8217","COMPUTER SCIENCE, INFORMATION SYSTEMS","('ESCI',)","48","0.3","Q4","0.06","0.00"
"Lengua y Migracion-Language and Migration","1889-5425","1889-5425","LINGUISTICS","('ESCI',)","60","0.3","Q4","0.06","56.60"
"Makara Journal of Health Research","2356-3664","2356-3656","MEDICINE, RESEARCH & EXPERIMENTAL","('ESCI',)","80","0.3","Q4","0.06","98.90"
"Momona Ethiopian Journal of Science","2073-073X","2073-073X","MULTIDISCIPLINARY SCIENCES","('ESCI',)","190","0.3","Q4","0.06","100.00"
"Pensar en Movimiento-Revista de Ciencias del Ejercicio y la Salud","1409-0724","1659-4436","SPORT SCIENCES","('ESCI',)","77","0.3","Q4","0.06","94.29"
"PHYTOPROTECTION","0031-9511","1710-1603","PLANT SCIENCES","('SCIE',)","135","0.3","Q4","0.06","0.00"
"PRZEMYSL CHEMICZNY","0033-2496","0033-2496","('CHEMISTRY, MULTIDISCIPLINARY', 'ENGINEERING, CHEMICAL')","('SCIE', 'SCIE')","715","0.3","('Q4', 'Q4')","0.06","0.00"
"Rational Pharmacotherapy in Cardiology","1819-6446","2225-3653","CARDIAC & CARDIOVASCULAR SYSTEMS","('ESCI',)","150","0.3","Q4","0.06","87.50"
"Revista Brasileira de Estudos Politicos","0034-7191","2359-5736","POLITICAL SCIENCE","('ESCI',)","69","0.3","Q4","0.06","63.53"
"Revista Hispanoamericana de Hernia","2255-2677","2255-2677","SURGERY","('ESCI',)","83","0.3","Q4","0.06","82.95"
"Revista sobre la Infancia y la Adolescencia","2174-7210","2174-7210","FAMILY STUDIES","('ESCI',)","36","0.3","Q4","0.06","87.88"
"Science & Technique","2227-1031","2227-1031","ENGINEERING, MULTIDISCIPLINARY","('ESCI',)","171","0.3","Q4","0.06","91.53"
"Suma de Negocios","2215-910X","2027-5692","BUSINESS","('ESCI',)","109","0.3","Q4","0.06","100.00"
"TERAPEVTICHESKII ARKHIV","0040-3660","2309-5342","MEDICINE, GENERAL & INTERNAL","('SCIE',)","659","0.3","Q3","0.06","98.27"
"UIS Ingenierias","1657-4583","2145-8456","ENGINEERING, MULTIDISCIPLINARY","('ESCI',)","109","0.3","Q4","0.06","98.09"
"Uni-pluriversidad","1657-4249","2665-2730","EDUCATION & EDUCATIONAL RESEARCH","('ESCI',)","84","0.3","Q4","0.06","47.62"
"University Politehnica of Bucharest Scientific Bulletin Series B-Chemistry and Materials Science","1454-2331","1454-2331","CHEMISTRY, MULTIDISCIPLINARY","('ESCI',)","469","0.3","Q4","0.06","0.00"
"Urbe-Revista Brasileira de Gestao Urbana","2175-3369","2175-3369","URBAN STUDIES","('ESCI',)","200","0.3","Q4","0.06","87.30"
"World of Medicine and Biology","2079-8334","2079-8334","MEDICINE, RESEARCH & EXPERIMENTAL","('ESCI',)","265","0.3","Q4","0.06","0.17"
"Acta Cybernetica","0324-721X","0324-721X","COMPUTER SCIENCE, CYBERNETICS","('ESCI',)","97","0.3","Q4","0.05","98.08"
"Advances in Digestive Medicine","2351-9797","2351-9800","GASTROENTEROLOGY & HEPATOLOGY","('ESCI',)","80","0.3","Q4","0.05","6.06"
"African Journal of Accounting Auditing and Finance","2046-8083","2046-8091","BUSINESS, FINANCE","('ESCI',)","33","0.3","Q4","0.05","0.00"
